,Page_URL,Text,Crafting_Focus,,
T5_2H_CLEAVER_HELL@2,https://albiononline2d.com/en/item/id/T5_2H_CLEAVER_HELL@2,Crafting Requirements (3),9191,,
T5_2H_ARCANESTAFF_HELL@2,https://albiononline2d.com/en/item/id/T5_2H_ARCANESTAFF_HELL@2,Crafting Requirements (3),9191,,
T4_OFF_LAMP_UNDEAD@2,https://albiononline2d.com/en/item/id/T4_OFF_LAMP_UNDEAD@2,Crafting Requirements (3),1313,,
T4_MAIN_HOLYSTAFF@3,https://albiononline2d.com/en/item/id/T4_MAIN_HOLYSTAFF@3,Crafting Requirements (2),6893,,
T4_MAIN_NATURESTAFF_KEEPER@2,https://albiononline2d.com/en/item/id/T4_MAIN_NATURESTAFF_KEEPER@2,Crafting Requirements (3),3939,,
T4_OFF_TALISMAN_AVALON,https://albiononline2d.com/en/item/id/T4_OFF_TALISMAN_AVALON,Crafting Requirements (3),429,,
T4_SHOES_LEATHER_SET2@3,https://albiononline2d.com/en/item/id/T4_SHOES_LEATHER_SET2@3,Crafting Requirements (1),2298,,
T4_SHOES_CLOTH_KEEPER,https://albiononline2d.com/en/item/id/T4_SHOES_CLOTH_KEEPER,Crafting Requirements (2),429,,
T5_2H_AXE,https://albiononline2d.com/en/item/id/T5_2H_AXE,Crafting Requirements (2),3001,,
T4_MAIN_HOLYSTAFF@4,https://albiononline2d.com/en/item/id/T4_MAIN_HOLYSTAFF@4,Crafting Requirements (2),12064,,
T4_HEAD_PLATE_SET2@2,https://albiononline2d.com/en/item/id/T4_HEAD_PLATE_SET2@2,Crafting Requirements (1),1313,,
T5_2H_DUALCROSSBOW_HELL@3,https://albiononline2d.com/en/item/id/T5_2H_DUALCROSSBOW_HELL@3,Crafting Requirements (3),16085,,
T4_OFF_LAMP_UNDEAD@3,https://albiononline2d.com/en/item/id/T4_OFF_LAMP_UNDEAD@3,Crafting Requirements (3),2298,,
T4_2H_TOOL_FISHINGROD,https://albiononline2d.com/en/item/id/T4_2H_TOOL_FISHINGROD,Crafting Requirements (2),429,,
T4_ARTEFACT_2H_ARCANE_RINGPAIR_AVALON,https://albiononline2d.com/en/item/id/T4_ARTEFACT_2H_ARCANE_RINGPAIR_AVALON,Crafting Requirements (1),,,
T4_MAIN_HOLYSTAFF_MORGANA,https://albiononline2d.com/en/item/id/T4_MAIN_HOLYSTAFF_MORGANA,Crafting Requirements (3),1286,,
T5_2H_AXE@1,https://albiononline2d.com/en/item/id/T5_2H_AXE@1,Crafting Requirements (2),5252,,
T5_2H_CLEAVER_HELL@3,https://albiononline2d.com/en/item/id/T5_2H_CLEAVER_HELL@3,Crafting Requirements (3),16085,,
T4_OFF_LAMP_UNDEAD@4,https://albiononline2d.com/en/item/id/T4_OFF_LAMP_UNDEAD@4,Crafting Requirements (3),4021,,
T3_SHOES_LEATHER_SET1,https://albiononline2d.com/en/item/id/T3_SHOES_LEATHER_SET1,Crafting Requirements (1),245,,
T4_ARMOR_LEATHER_HELL,https://albiononline2d.com/en/item/id/T4_ARMOR_LEATHER_HELL,Crafting Requirements (2),858,,
T4_HEAD_PLATE_SET2@3,https://albiononline2d.com/en/item/id/T4_HEAD_PLATE_SET2@3,Crafting Requirements (1),2298,,
T4_MAIN_NATURESTAFF_KEEPER@3,https://albiononline2d.com/en/item/id/T4_MAIN_NATURESTAFF_KEEPER@3,Crafting Requirements (3),6893,,
T4_OFF_TALISMAN_AVALON@1,https://albiononline2d.com/en/item/id/T4_OFF_TALISMAN_AVALON@1,Crafting Requirements (3),750,,
T4_MAIN_HOLYSTAFF_MORGANA@1,https://albiononline2d.com/en/item/id/T4_MAIN_HOLYSTAFF_MORGANA@1,Crafting Requirements (3),2251,,
T4_SHOES_CLOTH_KEEPER@1,https://albiononline2d.com/en/item/id/T4_SHOES_CLOTH_KEEPER@1,Crafting Requirements (2),750,,
T4_SHOES_LEATHER_SET2@4,https://albiononline2d.com/en/item/id/T4_SHOES_LEATHER_SET2@4,Crafting Requirements (1),4021,,
T5_2H_AXE@2,https://albiononline2d.com/en/item/id/T5_2H_AXE@2,Crafting Requirements (2),9191,,
T4_OFF_ORB_MORGANA,https://albiononline2d.com/en/item/id/T4_OFF_ORB_MORGANA,Crafting Requirements (3),429,,
T4_MAIN_HOLYSTAFF_MORGANA@2,https://albiononline2d.com/en/item/id/T4_MAIN_HOLYSTAFF_MORGANA@2,Crafting Requirements (3),3939,,
T5_2H_DUALCROSSBOW_HELL@4,https://albiononline2d.com/en/item/id/T5_2H_DUALCROSSBOW_HELL@4,Crafting Requirements (3),28148,,
T5_2H_CLEAVER_HELL@4,https://albiononline2d.com/en/item/id/T5_2H_CLEAVER_HELL@4,Crafting Requirements (3),28148,,
T4_MAIN_HOLYSTAFF_MORGANA@3,https://albiononline2d.com/en/item/id/T4_MAIN_HOLYSTAFF_MORGANA@3,Crafting Requirements (3),6893,,
T4_OFF_TALISMAN_AVALON@2,https://albiononline2d.com/en/item/id/T4_OFF_TALISMAN_AVALON@2,Crafting Requirements (3),1313,,
T4_OFF_ORB_MORGANA@1,https://albiononline2d.com/en/item/id/T4_OFF_ORB_MORGANA@1,Crafting Requirements (3),750,,
T5_2H_AXE@3,https://albiononline2d.com/en/item/id/T5_2H_AXE@3,Crafting Requirements (2),16085,,
T4_ARTEFACT_2H_ARCANESTAFF_HELL,https://albiononline2d.com/en/item/id/T4_ARTEFACT_2H_ARCANESTAFF_HELL,Crafting Requirements (1),,,
T4_2H_TOOL_FISHINGROD_AVALON,https://albiononline2d.com/en/item/id/T4_2H_TOOL_FISHINGROD_AVALON,Crafting Requirements (3),429,,
T4_MAIN_NATURESTAFF_KEEPER@4,https://albiononline2d.com/en/item/id/T4_MAIN_NATURESTAFF_KEEPER@4,Crafting Requirements (3),12064,,
T4_SHOES_LEATHER_SET3,https://albiononline2d.com/en/item/id/T4_SHOES_LEATHER_SET3,Crafting Requirements (1),429,,
T4_OFF_ORB_MORGANA@2,https://albiononline2d.com/en/item/id/T4_OFF_ORB_MORGANA@2,Crafting Requirements (3),1313,,
T4_ARMOR_LEATHER_HELL@1,https://albiononline2d.com/en/item/id/T4_ARMOR_LEATHER_HELL@1,Crafting Requirements (2),1501,,
T4_MAIN_HOLYSTAFF_MORGANA@4,https://albiononline2d.com/en/item/id/T4_MAIN_HOLYSTAFF_MORGANA@4,Crafting Requirements (3),12064,,
T4_SHOES_CLOTH_KEEPER@2,https://albiononline2d.com/en/item/id/T4_SHOES_CLOTH_KEEPER@2,Crafting Requirements (2),1313,,
T3_SHOES_PLATE_SET1,https://albiononline2d.com/en/item/id/T3_SHOES_PLATE_SET1,Crafting Requirements (1),245,,
T5_2H_AXE@4,https://albiononline2d.com/en/item/id/T5_2H_AXE@4,Crafting Requirements (2),28148,,
T4_OFF_ORB_MORGANA@3,https://albiononline2d.com/en/item/id/T4_OFF_ORB_MORGANA@3,Crafting Requirements (3),2298,,
T5_2H_COMBATSTAFF_MORGANA,https://albiononline2d.com/en/item/id/T5_2H_COMBATSTAFF_MORGANA,Crafting Requirements (3),3001,,
T4_MAIN_MACE,https://albiononline2d.com/en/item/id/T4_MAIN_MACE,Crafting Requirements (2),1286,,
T4_OFF_TALISMAN_AVALON@4,https://albiononline2d.com/en/item/id/T4_OFF_TALISMAN_AVALON@4,Crafting Requirements (3),4021,,
T5_2H_DUALHAMMER_HELL,https://albiononline2d.com/en/item/id/T5_2H_DUALHAMMER_HELL,Crafting Requirements (3),3001,,
T4_MAIN_RAPIER_MORGANA,https://albiononline2d.com/en/item/id/T4_MAIN_RAPIER_MORGANA,Crafting Requirements (3),1286,,
T4_OFF_ORB_MORGANA@4,https://albiononline2d.com/en/item/id/T4_OFF_ORB_MORGANA@4,Crafting Requirements (3),4021,,
T4_SHOES_LEATHER_SET3@1,https://albiononline2d.com/en/item/id/T4_SHOES_LEATHER_SET3@1,Crafting Requirements (1),750,,
T4_SHOES_CLOTH_KEEPER@3,https://albiononline2d.com/en/item/id/T4_SHOES_CLOTH_KEEPER@3,Crafting Requirements (2),,,
T4_ARMOR_LEATHER_HELL@2,https://albiononline2d.com/en/item/id/T4_ARMOR_LEATHER_HELL@2,Crafting Requirements (2),1501,,
T5_2H_BOW,https://albiononline2d.com/en/item/id/T5_2H_BOW,Crafting Requirements (1),28148,,
T5_2H_COMBATSTAFF_MORGANA@1,https://albiononline2d.com/en/item/id/T5_2H_COMBATSTAFF_MORGANA@1,Crafting Requirements (3),5252,,
T4_OFF_TORCH,https://albiononline2d.com/en/item/id/T4_OFF_TORCH,Crafting Requirements (2),429,,
T4_OFF_SHIELD,https://albiononline2d.com/en/item/id/T4_OFF_SHIELD,Crafting Requirements (2),429,,
T4_2H_TOOL_HAMMER,https://albiononline2d.com/en/item/id/T4_2H_TOOL_HAMMER,Crafting Requirements (2),429,,
T4_ARTEFACT_2H_AXE_AVALON,https://albiononline2d.com/en/item/id/T4_ARTEFACT_2H_AXE_AVALON,Crafting Requirements (1),,,
T4_MAIN_MACE@1,https://albiononline2d.com/en/item/id/T4_MAIN_MACE@1,Crafting Requirements (2),2251,,
T5_2H_BOW@1,https://albiononline2d.com/en/item/id/T5_2H_BOW@1,Crafting Requirements (1),5252,,
T4_ARMOR_LEATHER_HELL@3,https://albiononline2d.com/en/item/id/T4_ARMOR_LEATHER_HELL@3,Crafting Requirements (2),,,
T4_SHOES_CLOTH_KEEPER@4,https://albiononline2d.com/en/item/id/T4_SHOES_CLOTH_KEEPER@4,Crafting Requirements (2),4021,,
T4_OFF_SHIELD@1,https://albiononline2d.com/en/item/id/T4_OFF_SHIELD@1,Crafting Requirements (2),750,,
T4_MAIN_RAPIER_MORGANA@1,https://albiononline2d.com/en/item/id/T4_MAIN_RAPIER_MORGANA@1,Crafting Requirements (3),2251,,
T4_SHOES_LEATHER_SET3@2,https://albiononline2d.com/en/item/id/T4_SHOES_LEATHER_SET3@2,Crafting Requirements (1),1313,,
T5_2H_BOW@2,https://albiononline2d.com/en/item/id/T5_2H_BOW@2,Crafting Requirements (1),9191,,
T4_MAIN_MACE@2,https://albiononline2d.com/en/item/id/T4_MAIN_MACE@2,Crafting Requirements (2),3939,,
T5_2H_COMBATSTAFF_MORGANA@2,https://albiononline2d.com/en/item/id/T5_2H_COMBATSTAFF_MORGANA@2,Crafting Requirements (3),9191,,
T4_OFF_TORCH@1,https://albiononline2d.com/en/item/id/T4_OFF_TORCH@1,Crafting Requirements (2),750,,
T4_OFF_SHIELD@2,https://albiononline2d.com/en/item/id/T4_OFF_SHIELD@2,Crafting Requirements (2),1313,,
T4_ARMOR_LEATHER_HELL@4,https://albiononline2d.com/en/item/id/T4_ARMOR_LEATHER_HELL@4,Crafting Requirements (2),,,
,https://albiononline2d.com/en/item/id/T3_WHEAT,Used In (41),,,
T5_2H_BOW@3,https://albiononline2d.com/en/item/id/T5_2H_BOW@3,Crafting Requirements (1),16085,,
T4_SHOES_CLOTH_SET1,https://albiononline2d.com/en/item/id/T4_SHOES_CLOTH_SET1,Crafting Requirements (1),429,,
T5_2H_DUALHAMMER_HELL@1,https://albiononline2d.com/en/item/id/T5_2H_DUALHAMMER_HELL@1,Crafting Requirements (3),5252,,
T4_OFF_SHIELD@3,https://albiononline2d.com/en/item/id/T4_OFF_SHIELD@3,Crafting Requirements (2),2298,,
T5_2H_BOW@4,https://albiononline2d.com/en/item/id/T5_2H_BOW@4,Crafting Requirements (1),28148,,
T4_MAIN_RAPIER_MORGANA@2,https://albiononline2d.com/en/item/id/T4_MAIN_RAPIER_MORGANA@2,Crafting Requirements (3),3939,,
T4_ARTEFACT_2H_CLAYMORE_AVALON,https://albiononline2d.com/en/item/id/T4_ARTEFACT_2H_CLAYMORE_AVALON,Crafting Requirements (1),,,
T4_SHOES_LEATHER_SET3@3,https://albiononline2d.com/en/item/id/T4_SHOES_LEATHER_SET3@3,Crafting Requirements (1),2298,,
T4_OFF_SHIELD@4,https://albiononline2d.com/en/item/id/T4_OFF_SHIELD@4,Crafting Requirements (2),4021,,
T5_2H_COMBATSTAFF_MORGANA@3,https://albiononline2d.com/en/item/id/T5_2H_COMBATSTAFF_MORGANA@3,Crafting Requirements (3),16085,,
T4_OFF_TORCH@2,https://albiononline2d.com/en/item/id/T4_OFF_TORCH@2,Crafting Requirements (2),1313,,
T4_2H_TOOL_HAMMER_AVALON,https://albiononline2d.com/en/item/id/T4_2H_TOOL_HAMMER_AVALON,Crafting Requirements (3),429,,
T5_2H_BOW_HELL,https://albiononline2d.com/en/item/id/T5_2H_BOW_HELL,Crafting Requirements (2),3001,,
T4_SHOES_CLOTH_SET1@1,https://albiononline2d.com/en/item/id/T4_SHOES_CLOTH_SET1@1,Crafting Requirements (1),750,,
T5_2H_BOW_HELL@1,https://albiononline2d.com/en/item/id/T5_2H_BOW_HELL@1,Crafting Requirements (2),5252,,
T4_ARMOR_LEATHER_MORGANA,https://albiononline2d.com/en/item/id/T4_ARMOR_LEATHER_MORGANA,Crafting Requirements (2),858,,
,https://albiononline2d.com/en/item/id/T3_WOOD,Used In (1),,,
T4_OFF_TORCH@3,https://albiononline2d.com/en/item/id/T4_OFF_TORCH@3,Crafting Requirements (2),2298,,
T4_MAIN_RAPIER_MORGANA@3,https://albiononline2d.com/en/item/id/T4_MAIN_RAPIER_MORGANA@3,Crafting Requirements (3),6893,,
T5_2H_BOW_HELL@2,https://albiononline2d.com/en/item/id/T5_2H_BOW_HELL@2,Crafting Requirements (2),9191,,
T5_2H_DUALHAMMER_HELL@2,https://albiononline2d.com/en/item/id/T5_2H_DUALHAMMER_HELL@2,Crafting Requirements (3),9191,,
T4_SHOES_LEATHER_SET3@4,https://albiononline2d.com/en/item/id/T4_SHOES_LEATHER_SET3@4,Crafting Requirements (1),4021,,
T4_SHOES_CLOTH_SET1@2,https://albiononline2d.com/en/item/id/T4_SHOES_CLOTH_SET1@2,Crafting Requirements (1),1313,,
T4_2H_TOOL_KNIFE,https://albiononline2d.com/en/item/id/T4_2H_TOOL_KNIFE,Crafting Requirements (2),429,,
T5_2H_COMBATSTAFF_MORGANA@4,https://albiononline2d.com/en/item/id/T5_2H_COMBATSTAFF_MORGANA@4,Crafting Requirements (3),28148,,
T5_2H_BOW_HELL@3,https://albiononline2d.com/en/item/id/T5_2H_BOW_HELL@3,Crafting Requirements (2),16085,,
T4_ARTEFACT_2H_CLEAVER_HELL,https://albiononline2d.com/en/item/id/T4_ARTEFACT_2H_CLEAVER_HELL,Crafting Requirements (1),,,
T4_OFF_TORCH@4,https://albiononline2d.com/en/item/id/T4_OFF_TORCH@4,Crafting Requirements (2),4021,,
T4_SHOES_CLOTH_SET1@3,https://albiononline2d.com/en/item/id/T4_SHOES_CLOTH_SET1@3,Crafting Requirements (1),2298,,
T5_2H_BOW_HELL@4,https://albiononline2d.com/en/item/id/T5_2H_BOW_HELL@4,Crafting Requirements (2),28148,,
T4_ARMOR_LEATHER_MORGANA@1,https://albiononline2d.com/en/item/id/T4_ARMOR_LEATHER_MORGANA@1,Crafting Requirements (2),1501,,
T4_2H_TOOL_KNIFE_AVALON,https://albiononline2d.com/en/item/id/T4_2H_TOOL_KNIFE_AVALON,Crafting Requirements (3),429,,
T4_SHOES_PLATE_HELL,https://albiononline2d.com/en/item/id/T4_SHOES_PLATE_HELL,Crafting Requirements (2),429,,
T5_2H_CROSSBOW,https://albiononline2d.com/en/item/id/T5_2H_CROSSBOW,Crafting Requirements (2),3001,,
T4_2H_ARCANESTAFF,https://albiononline2d.com/en/item/id/T4_2H_ARCANESTAFF,Crafting Requirements (2),1715,,
T5_2H_CLAWPAIR,https://albiononline2d.com/en/item/id/T5_2H_CLAWPAIR,Crafting Requirements (2),3001,,
T4_MAIN_RAPIER_MORGANA@4,https://albiononline2d.com/en/item/id/T4_MAIN_RAPIER_MORGANA@4,Crafting Requirements (3),12064,,
T4_ARTEFACT_2H_COMBATSTAFF_MORGANA,https://albiononline2d.com/en/item/id/T4_ARTEFACT_2H_COMBATSTAFF_MORGANA,Crafting Requirements (1),,,
T4_OFF_TOTEM_KEEPER,https://albiononline2d.com/en/item/id/T4_OFF_TOTEM_KEEPER,Crafting Requirements (3),429,,
T4_SHOES_CLOTH_SET1@4,https://albiononline2d.com/en/item/id/T4_SHOES_CLOTH_SET1@4,Crafting Requirements (1),4021,,
T5_2H_CLAWPAIR@1,https://albiononline2d.com/en/item/id/T5_2H_CLAWPAIR@1,Crafting Requirements (2),5252,,
T4_2H_TOOL_PICK,https://albiononline2d.com/en/item/id/T4_2H_TOOL_PICK,Crafting Requirements (2),429,,
T5_2H_CROSSBOW@1,https://albiononline2d.com/en/item/id/T5_2H_CROSSBOW@1,Crafting Requirements (2),5252,,
T5_2H_CLAWPAIR@2,https://albiononline2d.com/en/item/id/T5_2H_CLAWPAIR@2,Crafting Requirements (2),9191,,
T5_2H_DUALHAMMER_HELL@3,https://albiononline2d.com/en/item/id/T5_2H_DUALHAMMER_HELL@3,Crafting Requirements (3),16085,,
T4_ARMOR_LEATHER_MORGANA@2,https://albiononline2d.com/en/item/id/T4_ARMOR_LEATHER_MORGANA@2,Crafting Requirements (2),2626,,
T4_2H_ARCANESTAFF@1,https://albiononline2d.com/en/item/id/T4_2H_ARCANESTAFF@1,Crafting Requirements (2),3001,,
T4_SHOES_CLOTH_SET2,https://albiononline2d.com/en/item/id/T4_SHOES_CLOTH_SET2,Crafting Requirements (1),429,,
T4_OFF_TOTEM_KEEPER@1,https://albiononline2d.com/en/item/id/T4_OFF_TOTEM_KEEPER@1,Crafting Requirements (3),750,,
T5_2H_CLAWPAIR@3,https://albiononline2d.com/en/item/id/T5_2H_CLAWPAIR@3,Crafting Requirements (2),16085,,
T5_2H_CLAWPAIR@4,https://albiononline2d.com/en/item/id/T5_2H_CLAWPAIR@4,Crafting Requirements (2),28148,,
T4_ARTEFACT_2H_CURSEDSTAFF_MORGANA,https://albiononline2d.com/en/item/id/T4_ARTEFACT_2H_CURSEDSTAFF_MORGANA,Crafting Requirements (1),,,
T5_2H_CROSSBOW@2,https://albiononline2d.com/en/item/id/T5_2H_CROSSBOW@2,Crafting Requirements (2),9191,,
T4_SHOES_PLATE_HELL@1,https://albiononline2d.com/en/item/id/T4_SHOES_PLATE_HELL@1,Crafting Requirements (2),750,,
T4_SHOES_CLOTH_SET2@1,https://albiononline2d.com/en/item/id/T4_SHOES_CLOTH_SET2@1,Crafting Requirements (1),750,,
T5_2H_GLACIALSTAFF,https://albiononline2d.com/en/item/id/T5_2H_GLACIALSTAFF,Crafting Requirements (2),3001,,
T5_2H_DUALHAMMER_HELL@4,https://albiononline2d.com/en/item/id/T5_2H_DUALHAMMER_HELL@4,Crafting Requirements (3),28148,,
T4_OFF_TOTEM_KEEPER@2,https://albiononline2d.com/en/item/id/T4_OFF_TOTEM_KEEPER@2,Crafting Requirements (3),1313,,
T4_2H_TOOL_PICK_AVALON,https://albiononline2d.com/en/item/id/T4_2H_TOOL_PICK_AVALON,Crafting Requirements (3),429,,
T5_2H_CLAYMORE,https://albiononline2d.com/en/item/id/T5_2H_CLAYMORE,Crafting Requirements (2),3001,,
T5_2H_CLAYMORE@1,https://albiononline2d.com/en/item/id/T5_2H_CLAYMORE@1,Crafting Requirements (2),5252,,
T4_SHOES_CLOTH_SET2@2,https://albiononline2d.com/en/item/id/T4_SHOES_CLOTH_SET2@2,Crafting Requirements (1),1313,,
T4_ARMOR_LEATHER_MORGANA@3,https://albiononline2d.com/en/item/id/T4_ARMOR_LEATHER_MORGANA@3,Crafting Requirements (2),4596,,
T4_2H_ARCANESTAFF@2,https://albiononline2d.com/en/item/id/T4_2H_ARCANESTAFF@2,Crafting Requirements (2),5252,,
T5_2H_CROSSBOW@3,https://albiononline2d.com/en/item/id/T5_2H_CROSSBOW@3,Crafting Requirements (2),16085,,
T4_OFF_TOTEM_KEEPER@3,https://albiononline2d.com/en/item/id/T4_OFF_TOTEM_KEEPER@3,Crafting Requirements (3),2298,,
T4_ARTEFACT_2H_DAGGER_KATAR_AVALON,https://albiononline2d.com/en/item/id/T4_ARTEFACT_2H_DAGGER_KATAR_AVALON,Crafting Requirements (1),,,
T4_SHOES_PLATE_HELL@2,https://albiononline2d.com/en/item/id/T4_SHOES_PLATE_HELL@2,Crafting Requirements (2),1313,,
T4_MAIN_ROCKMACE_KEEPER,https://albiononline2d.com/en/item/id/T4_MAIN_ROCKMACE_KEEPER,Crafting Requirements (3),1286,,
T4_SHOES_CLOTH_SET2@3,https://albiononline2d.com/en/item/id/T4_SHOES_CLOTH_SET2@3,Crafting Requirements (1),2298,,
T4_2H_TOOL_SIEGEHAMMER,https://albiononline2d.com/en/item/id/T4_2H_TOOL_SIEGEHAMMER,Crafting Requirements (2),858,,
T5_2H_ICEGAUNTLETS_HELL@4,https://albiononline2d.com/en/item/id/T5_2H_ICEGAUNTLETS_HELL@4,Crafting Requirements (3),28148,,
T5_2H_CROSSBOW@4,https://albiononline2d.com/en/item/id/T5_2H_CROSSBOW@4,Crafting Requirements (2),28148,,
T4_OFF_TOTEM_KEEPER@4,https://albiononline2d.com/en/item/id/T4_OFF_TOTEM_KEEPER@4,Crafting Requirements (3),4021,,
T4_2H_ARCANESTAFF@3,https://albiononline2d.com/en/item/id/T4_2H_ARCANESTAFF@3,Crafting Requirements (2),9191,,
T5_2H_INFERNOSTAFF,https://albiononline2d.com/en/item/id/T5_2H_INFERNOSTAFF,Crafting Requirements (2),3001,,
T4_SHOES_PLATE_HELL@3,https://albiononline2d.com/en/item/id/T4_SHOES_PLATE_HELL@3,Crafting Requirements (2),2298,,
T4_ARMOR_LEATHER_MORGANA@4,https://albiononline2d.com/en/item/id/T4_ARMOR_LEATHER_MORGANA@4,Crafting Requirements (2),8042,,
T4_SHOES_CLOTH_SET2@4,https://albiononline2d.com/en/item/id/T4_SHOES_CLOTH_SET2@4,Crafting Requirements (1),4021,,
T5_2H_DUALSWORD,https://albiononline2d.com/en/item/id/T5_2H_DUALSWORD,Crafting Requirements (2),3001,,
T4_MAIN_ROCKMACE_KEEPER@1,https://albiononline2d.com/en/item/id/T4_MAIN_ROCKMACE_KEEPER@1,Crafting Requirements (3),2251,,
T4_2H_TOOL_SIEGEHAMMER_AVALON,https://albiononline2d.com/en/item/id/T4_2H_TOOL_SIEGEHAMMER_AVALON,Crafting Requirements (3),858,,
T4_OFF_TOWERSHIELD_UNDEAD,https://albiononline2d.com/en/item/id/T4_OFF_TOWERSHIELD_UNDEAD,Crafting Requirements (3),429,,
T4_ARTEFACT_2H_DUALAXE_KEEPER,https://albiononline2d.com/en/item/id/T4_ARTEFACT_2H_DUALAXE_KEEPER,Crafting Requirements (1),,,
T5_2H_CROSSBOWLARGE,https://albiononline2d.com/en/item/id/T5_2H_CROSSBOWLARGE,Crafting Requirements (2),3001,,
T5_2H_INFERNOSTAFF@1,https://albiononline2d.com/en/item/id/T5_2H_INFERNOSTAFF@1,Crafting Requirements (2),5252,,
T4_SHOES_CLOTH_SET3,https://albiononline2d.com/en/item/id/T4_SHOES_CLOTH_SET3,Crafting Requirements (1),429,,
T5_2H_DUALSWORD@1,https://albiononline2d.com/en/item/id/T5_2H_DUALSWORD@1,Crafting Requirements (2),5252,,
T4_OFF_TOWERSHIELD_UNDEAD@1,https://albiononline2d.com/en/item/id/T4_OFF_TOWERSHIELD_UNDEAD@1,Crafting Requirements (3),750,,
T5_2H_INFERNOSTAFF@2,https://albiononline2d.com/en/item/id/T5_2H_INFERNOSTAFF@2,Crafting Requirements (2),9191,,
T4_2H_ARCANESTAFF@4,https://albiononline2d.com/en/item/id/T4_2H_ARCANESTAFF@4,Crafting Requirements (2),16085,,
T4_MAIN_ROCKMACE_KEEPER@2,https://albiononline2d.com/en/item/id/T4_MAIN_ROCKMACE_KEEPER@2,Crafting Requirements (3),3939,,
T4_ARMOR_LEATHER_SET1,https://albiononline2d.com/en/item/id/T4_ARMOR_LEATHER_SET1,Crafting Requirements (1),858,,
T5_2H_CROSSBOWLARGE@1,https://albiononline2d.com/en/item/id/T5_2H_CROSSBOWLARGE@1,Crafting Requirements (2),5252,,
T4_2H_TWINSCYTHE_HELL,https://albiononline2d.com/en/item/id/T4_2H_TWINSCYTHE_HELL,Crafting Requirements (3),1715,,
T4_ARTEFACT_2H_DUALHAMMER_HELL,https://albiononline2d.com/en/item/id/T4_ARTEFACT_2H_DUALHAMMER_HELL,Crafting Requirements (1),,,
T4_OFF_TOWERSHIELD_UNDEAD@2,https://albiononline2d.com/en/item/id/T4_OFF_TOWERSHIELD_UNDEAD@2,Crafting Requirements (3),1313,,
T5_2H_DUALSWORD@2,https://albiononline2d.com/en/item/id/T5_2H_DUALSWORD@2,Crafting Requirements (2),9191,,
T4_SHOES_PLATE_HELL@4,https://albiononline2d.com/en/item/id/T4_SHOES_PLATE_HELL@4,Crafting Requirements (2),4021,,
T5_2H_GLACIALSTAFF@1,https://albiononline2d.com/en/item/id/T5_2H_GLACIALSTAFF@1,Crafting Requirements (2),5252,,
T5_2H_INFERNOSTAFF@3,https://albiononline2d.com/en/item/id/T5_2H_INFERNOSTAFF@3,Crafting Requirements (2),16085,,
T5_2H_CROSSBOWLARGE@2,https://albiononline2d.com/en/item/id/T5_2H_CROSSBOWLARGE@2,Crafting Requirements (2),9191,,
T4_SHOES_CLOTH_SET3@1,https://albiononline2d.com/en/item/id/T4_SHOES_CLOTH_SET3@1,Crafting Requirements (1),750,,
T5_2H_DUALSWORD@3,https://albiononline2d.com/en/item/id/T5_2H_DUALSWORD@3,Crafting Requirements (2),16085,,
T4_OFF_TOWERSHIELD_UNDEAD@3,https://albiononline2d.com/en/item/id/T4_OFF_TOWERSHIELD_UNDEAD@3,Crafting Requirements (3),2298,,
T4_ARMOR_LEATHER_SET1@1,https://albiononline2d.com/en/item/id/T4_ARMOR_LEATHER_SET1@1,Crafting Requirements (1),1501,,
T4_2H_ARCANESTAFF_HELL,https://albiononline2d.com/en/item/id/T4_2H_ARCANESTAFF_HELL,Crafting Requirements (3),1715,,
T4_SHOES_PLATE_SET1,https://albiononline2d.com/en/item/id/T4_SHOES_PLATE_SET1,Crafting Requirements (1),429,,
T5_2H_INFERNOSTAFF@4,https://albiononline2d.com/en/item/id/T5_2H_INFERNOSTAFF@4,Crafting Requirements (2),28148,,
T4_2H_TWINSCYTHE_HELL@1,https://albiononline2d.com/en/item/id/T4_2H_TWINSCYTHE_HELL@1,Crafting Requirements (3),3001,,
T4_ARTEFACT_2H_DUALMACE_AVALON,https://albiononline2d.com/en/item/id/T4_ARTEFACT_2H_DUALMACE_AVALON,Crafting Requirements (1),,,
T4_MAIN_ROCKMACE_KEEPER@3,https://albiononline2d.com/en/item/id/T4_MAIN_ROCKMACE_KEEPER@3,Crafting Requirements (3),6893,,
T5_2H_CROSSBOWLARGE@3,https://albiononline2d.com/en/item/id/T5_2H_CROSSBOWLARGE@3,Crafting Requirements (2),16085,,
T5_2H_IRONCLADEDSTAFF,https://albiononline2d.com/en/item/id/T5_2H_IRONCLADEDSTAFF,Crafting Requirements (2),3001,,
T4_OFF_TOWERSHIELD_UNDEAD@4,https://albiononline2d.com/en/item/id/T4_OFF_TOWERSHIELD_UNDEAD@4,Crafting Requirements (3),4021,,
T5_2H_DUALSWORD@4,https://albiononline2d.com/en/item/id/T5_2H_DUALSWORD@4,Crafting Requirements (2),28148,,
T4_MAIN_ROCKMACE_KEEPER@4,https://albiononline2d.com/en/item/id/T4_MAIN_ROCKMACE_KEEPER@4,Crafting Requirements (3),12064,,
,https://albiononline2d.com/en/item/id/T4_ORE,Used In (3),,,
T4_SHOES_CLOTH_SET3@2,https://albiononline2d.com/en/item/id/T4_SHOES_CLOTH_SET3@2,Crafting Requirements (1),1313,,
