,Category_Name,Category_Images,Product,Silver_Cost,Crafting_Focus,Ingredient_1_Image,Ingredient_1_Name,Ingredient_1_Amount,Ingredient_2_Image,Ingredient_2_Name,Ingredient_2_Amount,Ingredient_3_Image,Ingredient_3_Name,Ingredient_3_Amount,Ingredient_4_Image,Ingredient_4_Name,Ingredient_4_Amount,Ingredient_5_Image,Ingredient_5_Name,Ingredient_5_Amount
390,T4_2H_IRONCLADEDSTAFF@3,https://render.albiononline.com/v1/item/T4_2H_IRONCLADEDSTAFF@3,Adept's Iron-clad Staff ,,9191,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL3,Exceptional Steel Bar,12,https://render.albiononline.com/v1/item/T4_LEATHER_LEVEL3,Exceptional Worked Leather,20,,,,,,,,,
391,T4_2H_IRONCLADEDSTAFF@4,https://render.albiononline.com/v1/item/T4_2H_IRONCLADEDSTAFF@4,Adept's Iron-clad Staff ,,16085,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL4,Pristine Steel Bar,12,https://render.albiononline.com/v1/item/T4_LEATHER_LEVEL4,Pristine Worked Leather,20,,,,,,,,,
392,T4_2H_KNUCKLES_HELL,https://render.albiononline.com/v1/item/T4_2H_KNUCKLES_HELL,Adept's Hellfire Hands ,,1715,https://render.albiononline.com/v1/item/T4_METALBAR,Steel Bar,12,https://render.albiononline.com/v1/item/T4_LEATHER,Worked Leather,20,https://render.albiononline.com/v1/item/T4_ARTEFACT_2H_KNUCKLES_HELL,Adept's Severed Demonic Horns,1,,,,,,
393,T4_2H_KNUCKLES_HELL@1,https://render.albiononline.com/v1/item/T4_2H_KNUCKLES_HELL@1,Adept's Hellfire Hands ,,3001,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL1,Uncommon Steel Bar,12,https://render.albiononline.com/v1/item/T4_LEATHER_LEVEL1,Uncommon Worked Leather,20,https://render.albiononline.com/v1/item/T4_ARTEFACT_2H_KNUCKLES_HELL,Adept's Severed Demonic Horns,1,,,,,,
394,T4_2H_KNUCKLES_HELL@2,https://render.albiononline.com/v1/item/T4_2H_KNUCKLES_HELL@2,Adept's Hellfire Hands ,,5252,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL2,Rare Steel Bar,12,https://render.albiononline.com/v1/item/T4_LEATHER_LEVEL2,Rare Worked Leather,20,https://render.albiononline.com/v1/item/T4_ARTEFACT_2H_KNUCKLES_HELL,Adept's Severed Demonic Horns,1,,,,,,
395,T4_2H_KNUCKLES_HELL@3,https://render.albiononline.com/v1/item/T4_2H_KNUCKLES_HELL@3,Adept's Hellfire Hands ,,9191,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL3,Exceptional Steel Bar,12,https://render.albiononline.com/v1/item/T4_LEATHER_LEVEL3,Exceptional Worked Leather,20,https://render.albiononline.com/v1/item/T4_ARTEFACT_2H_KNUCKLES_HELL,Adept's Severed Demonic Horns,1,,,,,,
396,T4_2H_KNUCKLES_HELL@4,https://render.albiononline.com/v1/item/T4_2H_KNUCKLES_HELL@4,Adept's Hellfire Hands ,,16085,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL4,Pristine Steel Bar,12,https://render.albiononline.com/v1/item/T4_LEATHER_LEVEL4,Pristine Worked Leather,20,https://render.albiononline.com/v1/item/T4_ARTEFACT_2H_KNUCKLES_HELL,Adept's Severed Demonic Horns,1,,,,,,
397,T4_2H_KNUCKLES_KEEPER,https://render.albiononline.com/v1/item/T4_2H_KNUCKLES_KEEPER,Adept's Ursine Maulers ,,1715,https://render.albiononline.com/v1/item/T4_METALBAR,Steel Bar,12,https://render.albiononline.com/v1/item/T4_LEATHER,Worked Leather,20,https://render.albiononline.com/v1/item/T4_ARTEFACT_2H_KNUCKLES_KEEPER,Adept's Ursine Guardian Remains,1,,,,,,
398,T4_2H_KNUCKLES_KEEPER@1,https://render.albiononline.com/v1/item/T4_2H_KNUCKLES_KEEPER@1,Adept's Ursine Maulers ,,3001,https://render.albiononline.com/v1/item/T4_METALBAR,Steel Bar,12,https://render.albiononline.com/v1/item/T4_LEATHER,Worked Leather,20,https://render.albiononline.com/v1/item/T4_ARTEFACT_2H_KNUCKLES_KEEPER,Adept's Ursine Guardian Remains,1,,,,,,
399,T4_2H_KNUCKLES_KEEPER@2,https://render.albiononline.com/v1/item/T4_2H_KNUCKLES_KEEPER@2,Adept's Ursine Maulers ,,5252,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL2,Rare Steel Bar,12,https://render.albiononline.com/v1/item/T4_LEATHER_LEVEL2,Rare Worked Leather,20,https://render.albiononline.com/v1/item/T4_ARTEFACT_2H_KNUCKLES_KEEPER,Adept's Ursine Guardian Remains,1,,,,,,
400,T4_2H_KNUCKLES_KEEPER@3,https://render.albiononline.com/v1/item/T4_2H_KNUCKLES_KEEPER@3,Adept's Ursine Maulers ,,9191,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL3,Exceptional Steel Bar,12,https://render.albiononline.com/v1/item/T4_LEATHER_LEVEL3,Exceptional Worked Leather,20,https://render.albiononline.com/v1/item/T4_ARTEFACT_2H_KNUCKLES_KEEPER,Adept's Ursine Guardian Remains,1,,,,,,
401,T4_2H_KNUCKLES_KEEPER@4,https://render.albiononline.com/v1/item/T4_2H_KNUCKLES_KEEPER@4,Adept's Ursine Maulers ,,16085,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL4,Pristine Steel Bar,12,https://render.albiononline.com/v1/item/T4_LEATHER_LEVEL4,Pristine Worked Leather,20,https://render.albiononline.com/v1/item/T4_ARTEFACT_2H_KNUCKLES_KEEPER,Adept's Ursine Guardian Remains,1,,,,,,
402,T4_2H_KNUCKLES_SET1,https://render.albiononline.com/v1/item/T4_2H_KNUCKLES_SET1,Adept's Brawler Gloves ,,1715,https://render.albiononline.com/v1/item/T4_METALBAR,Steel Bar,12,https://render.albiononline.com/v1/item/T4_LEATHER,Worked Leather,20,,,,,,,,,
403,T4_2H_KNUCKLES_SET1,https://render.albiononline.com/v1/item/T4_2H_KNUCKLES_SET1,Adept's Brawler Gloves ,,1715,https://render.albiononline.com/v1/item/T4_METALBAR,Steel Bar,12,https://render.albiononline.com/v1/item/T4_LEATHER,Worked Leather,20,,,,,,,,,
404,T4_2H_KNUCKLES_SET1@1,https://render.albiononline.com/v1/item/T4_2H_KNUCKLES_SET1@1,Adept's Brawler Gloves ,,28148,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL1,Uncommon Steel Bar,12,https://render.albiononline.com/v1/item/T4_LEATHER_LEVEL1,Uncommon Worked Leather,20,,,,,,,,,
405,T4_2H_KNUCKLES_SET1@2,https://render.albiononline.com/v1/item/T4_2H_KNUCKLES_SET1@2,Adept's Brawler Gloves ,,5252,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL2,Rare Steel Bar,12,https://render.albiononline.com/v1/item/T4_LEATHER_LEVEL2,Rare Worked Leather,20,,,,,,,,,
406,T4_2H_KNUCKLES_SET1@3,https://render.albiononline.com/v1/item/T4_2H_KNUCKLES_SET1@3,Adept's Brawler Gloves ,,9191,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL3,Exceptional Steel Bar,12,https://render.albiononline.com/v1/item/T4_LEATHER_LEVEL3,Exceptional Worked Leather,20,,,,,,,,,
407,T4_2H_KNUCKLES_SET1@4,https://render.albiononline.com/v1/item/T4_2H_KNUCKLES_SET1@4,Adept's Brawler Gloves ,,16085,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL4,Pristine Steel Bar,12,https://render.albiononline.com/v1/item/T4_LEATHER_LEVEL4,Pristine Worked Leather,20,,,,,,,,,
408,T4_2H_KNUCKLES_SET1@4,https://render.albiononline.com/v1/item/T4_2H_KNUCKLES_SET1@4,Adept's Brawler Gloves ,,16085,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL4,Pristine Steel Bar,12,https://render.albiononline.com/v1/item/T4_LEATHER_LEVEL4,Pristine Worked Leather,20,,,,,,,,,
409,T4_2H_KNUCKLES_SET2,https://render.albiononline.com/v1/item/T4_2H_KNUCKLES_SET2,Adept's Battle Bracers ,,1715,https://render.albiononline.com/v1/item/T4_METALBAR,Steel Bar,12,https://render.albiononline.com/v1/item/T4_LEATHER,Worked Leather,20,,,,,,,,,
410,T4_2H_KNUCKLES_SET2@1,https://render.albiononline.com/v1/item/T4_2H_KNUCKLES_SET2@1,Adept's Battle Bracers ,,3001,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL1,Uncommon Steel Bar,12,https://render.albiononline.com/v1/item/T4_LEATHER_LEVEL1,Uncommon Worked Leather,20,,,,,,,,,
411,T4_2H_KNUCKLES_SET2@1,https://render.albiononline.com/v1/item/T4_2H_KNUCKLES_SET2@1,Adept's Battle Bracers ,,3001,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL1,Uncommon Steel Bar,12,https://render.albiononline.com/v1/item/T4_LEATHER_LEVEL1,Uncommon Worked Leather,20,,,,,,,,,
412,T4_2H_KNUCKLES_SET2@2,https://render.albiononline.com/v1/item/T4_2H_KNUCKLES_SET2@2,Adept's Battle Bracers ,,5252,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL2,Rare Steel Bar,12,https://render.albiononline.com/v1/item/T4_LEATHER_LEVEL2,Rare Worked Leather,20,,,,,,,,,
413,T4_2H_KNUCKLES_SET2@3,https://render.albiononline.com/v1/item/T4_2H_KNUCKLES_SET2@3,Adept's Battle Bracers ,,9191,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL3,Exceptional Steel Bar,12,https://render.albiononline.com/v1/item/T4_LEATHER_LEVEL3,Exceptional Worked Leather,20,,,,,,,,,
414,T4_2H_KNUCKLES_SET2@4,https://render.albiononline.com/v1/item/T4_2H_KNUCKLES_SET2@4,Adept's Battle Bracers ,,16085,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL4,Pristine Steel Bar,12,https://render.albiononline.com/v1/item/T4_LEATHER_LEVEL4,Pristine Worked Leather,20,,,,,,,,,
415,T4_2H_KNUCKLES_SET3,https://render.albiononline.com/v1/item/T4_2H_KNUCKLES_SET3,Adept's Spiked Gauntlets ,,1715,https://render.albiononline.com/v1/item/T4_METALBAR,Steel Bar,12,https://render.albiononline.com/v1/item/T4_LEATHER,Worked Leather,20,,,,,,,,,
416,T4_2H_KNUCKLES_SET3@1,https://render.albiononline.com/v1/item/T4_2H_KNUCKLES_SET3@1,Adept's Spiked Gauntlets ,,3001,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL1,Uncommon Steel Bar,12,https://render.albiononline.com/v1/item/T4_LEATHER_LEVEL1,Uncommon Worked Leather,20,,,,,,,,,
417,T4_2H_KNUCKLES_SET3@2,https://render.albiononline.com/v1/item/T4_2H_KNUCKLES_SET3@2,Adept's Spiked Gauntlets ,,5252,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL2,Rare Steel Bar,12,https://render.albiononline.com/v1/item/T4_LEATHER_LEVEL2,Rare Worked Leather,20,,,,,,,,,
418,T4_2H_KNUCKLES_SET3@3,https://render.albiononline.com/v1/item/T4_2H_KNUCKLES_SET3@3,Adept's Spiked Gauntlets ,,9191,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL3,Exceptional Steel Bar,12,https://render.albiononline.com/v1/item/T4_LEATHER_LEVEL3,Exceptional Worked Leather,20,,,,,,,,,
419,T4_2H_KNUCKLES_SET3@4,https://render.albiononline.com/v1/item/T4_2H_KNUCKLES_SET3@4,Adept's Spiked Gauntlets ,,16085,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL4,Pristine Steel Bar,12,https://render.albiononline.com/v1/item/T4_LEATHER_LEVEL4,Pristine Worked Leather,20,,,,,,,,,
420,T4_2H_LONGBOW,https://render.albiononline.com/v1/item/T4_2H_LONGBOW,Adept's Longbow ,,1715,https://render.albiononline.com/v1/item/T4_PLANKS,Pine Planks,32,,,,,,,,,,,,
421,T4_2H_LONGBOW@1,https://render.albiononline.com/v1/item/T4_2H_LONGBOW@1,Adept's Longbow ,,3001,https://render.albiononline.com/v1/item/T4_PLANKS_LEVEL1,Uncommon Pine Planks,32,,,,,,,,,,,,
422,T4_2H_LONGBOW@2,https://render.albiononline.com/v1/item/T4_2H_LONGBOW@2,Adept's Longbow ,,5252,https://render.albiononline.com/v1/item/T4_PLANKS_LEVEL2,Rare Pine Planks,32,,,,,,,,,,,,
423,T4_2H_LONGBOW@3,https://render.albiononline.com/v1/item/T4_2H_LONGBOW@3,Adept's Longbow ,,9191,https://render.albiononline.com/v1/item/T4_PLANKS_LEVEL3,Exceptional Pine Planks,32,,,,,,,,,,,,
424,T4_2H_LONGBOW@4,https://render.albiononline.com/v1/item/T4_2H_LONGBOW@4,Adept's Longbow ,,16085,https://render.albiononline.com/v1/item/T4_PLANKS_LEVEL4,Pristine Pine Planks,32,,,,,,,,,,,,
425,T4_2H_LONGBOW_UNDEAD,https://render.albiononline.com/v1/item/T4_2H_LONGBOW_UNDEAD,Adept's Whispering Bow ,,1715,https://render.albiononline.com/v1/item/T4_PLANKS,Pine Planks,32,https://render.albiononline.com/v1/item/T4_ARTEFACT_2H_LONGBOW_UNDEAD,Adept's Ghastly Arrows,1,,,,,,,,,
426,T4_2H_LONGBOW_UNDEAD@1,https://render.albiononline.com/v1/item/T4_2H_LONGBOW_UNDEAD@1,Adept's Whispering Bow ,,3001,https://render.albiononline.com/v1/item/T4_PLANKS_LEVEL1,Uncommon Pine Planks,32,https://render.albiononline.com/v1/item/T4_ARTEFACT_2H_LONGBOW_UNDEAD,Adept's Ghastly Arrows,1,,,,,,,,,
427,T4_2H_LONGBOW_UNDEAD@2,https://render.albiononline.com/v1/item/T4_2H_LONGBOW_UNDEAD@2,Adept's Whispering Bow ,,5252,https://render.albiononline.com/v1/item/T4_PLANKS_LEVEL2,Rare Pine Planks,32,https://render.albiononline.com/v1/item/T4_ARTEFACT_2H_LONGBOW_UNDEAD,Adept's Ghastly Arrows,1,,,,,,,,,
428,T4_2H_LONGBOW_UNDEAD@3,https://render.albiononline.com/v1/item/T4_2H_LONGBOW_UNDEAD@3,Adept's Whispering Bow ,,9191,https://render.albiononline.com/v1/item/T4_PLANKS_LEVEL3,Exceptional Pine Planks,32,https://render.albiononline.com/v1/item/T4_ARTEFACT_2H_LONGBOW_UNDEAD,Adept's Ghastly Arrows,1,,,,,,,,,
429,T4_2H_LONGBOW_UNDEAD@4,https://render.albiononline.com/v1/item/T4_2H_LONGBOW_UNDEAD@4,Adept's Whispering Bow ,,16085,https://render.albiononline.com/v1/item/T4_PLANKS_LEVEL4,Pristine Pine Planks,32,https://render.albiononline.com/v1/item/T4_ARTEFACT_2H_LONGBOW_UNDEAD,Adept's Ghastly Arrows,1,,,,,,,,,
430,T4_2H_MACE,https://render.albiononline.com/v1/item/T4_2H_MACE,Adept's Heavy Mace ,,1715,https://render.albiononline.com/v1/item/T4_METALBAR,Steel Bar,20,https://render.albiononline.com/v1/item/T4_CLOTH,Fine Cloth,12,,,,,,,,,
431,T4_2H_MACE,https://render.albiononline.com/v1/item/T4_2H_MACE,Adept's Heavy Mace ,,1715,https://render.albiononline.com/v1/item/T4_METALBAR,Steel Bar,20,https://render.albiononline.com/v1/item/T4_CLOTH,Fine Cloth,12,,,,,,,,,
432,T4_2H_MACE@1,https://render.albiononline.com/v1/item/T4_2H_MACE@1,Adept's Heavy Mace ,,3001,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL1,Uncommon Steel Bar,20,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL1,Uncommon Fine Cloth,12,,,,,,,,,
433,T4_2H_MACE@1,https://render.albiononline.com/v1/item/T4_2H_MACE@1,Adept's Heavy Mace ,,3001,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL1,Uncommon Steel Bar,20,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL1,Uncommon Fine Cloth,12,,,,,,,,,
434,T4_2H_MACE@2,https://render.albiononline.com/v1/item/T4_2H_MACE@2,Adept's Heavy Mace ,,5252,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL2,Rare Steel Bar,20,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL2,Rare Fine Cloth,12,,,,,,,,,
435,T4_2H_MACE@2,https://render.albiononline.com/v1/item/T4_2H_MACE@2,Adept's Heavy Mace ,,5252,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL2,Rare Steel Bar,20,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL2,Rare Fine Cloth,12,,,,,,,,,
436,T4_2H_MACE@3,https://render.albiononline.com/v1/item/T4_2H_MACE@3,Adept's Heavy Mace ,,9191,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL3,Exceptional Steel Bar,20,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL3,Exceptional Fine Cloth,12,,,,,,,,,
437,T4_2H_MACE@3,https://render.albiononline.com/v1/item/T4_2H_MACE@3,Adept's Heavy Mace ,,9191,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL3,Exceptional Steel Bar,20,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL3,Exceptional Fine Cloth,12,,,,,,,,,
438,T4_2H_MACE@4,https://render.albiononline.com/v1/item/T4_2H_MACE@4,Adept's Heavy Mace ,,16085,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL4,Pristine Steel Bar,20,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL4,Pristine Fine Cloth,12,,,,,,,,,
439,T4_2H_MACE@4,https://render.albiononline.com/v1/item/T4_2H_MACE@4,Adept's Heavy Mace ,,16085,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL4,Pristine Steel Bar,20,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL4,Pristine Fine Cloth,12,,,,,,,,,
440,T4_2H_NATURESTAFF,https://render.albiononline.com/v1/item/T4_2H_NATURESTAFF,Adept's Great Nature Staff ,,1715,https://render.albiononline.com/v1/item/T4_PLANKS,Pine Planks,20,https://render.albiononline.com/v1/item/T4_CLOTH,Fine Cloth,12,,,,,,,,,
441,T4_2H_NATURESTAFF@1,https://render.albiononline.com/v1/item/T4_2H_NATURESTAFF@1,Adept's Great Nature Staff ,,3001,https://render.albiononline.com/v1/item/T4_PLANKS_LEVEL1,Uncommon Pine Planks,20,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL1,Uncommon Fine Cloth,12,,,,,,,,,
442,T4_2H_NATURESTAFF@2,https://render.albiononline.com/v1/item/T4_2H_NATURESTAFF@2,Adept's Great Nature Staff ,,5252,https://render.albiononline.com/v1/item/T4_PLANKS_LEVEL2,Rare Pine Planks,20,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL2,Rare Fine Cloth,12,,,,,,,,,
443,T4_2H_NATURESTAFF@3,https://render.albiononline.com/v1/item/T4_2H_NATURESTAFF@3,Adept's Great Nature Staff ,,9191,https://render.albiononline.com/v1/item/T4_PLANKS_LEVEL3,Exceptional Pine Planks,20,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL3,Exceptional Fine Cloth,12,,,,,,,,,
444,T4_2H_NATURESTAFF@4,https://render.albiononline.com/v1/item/T4_2H_NATURESTAFF@4,Adept's Great Nature Staff ,,16085,https://render.albiononline.com/v1/item/T4_PLANKS_LEVEL4,Pristine Pine Planks,20,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL4,Pristine Fine Cloth,12,,,,,,,,,
445,T4_2H_NATURESTAFF_HELL,https://render.albiononline.com/v1/item/T4_2H_NATURESTAFF_HELL,Adept's Blight Staff ,,1715,https://render.albiononline.com/v1/item/T4_PLANKS,Pine Planks,20,https://render.albiononline.com/v1/item/T4_CLOTH,Fine Cloth,12,https://render.albiononline.com/v1/item/T4_ARTEFACT_2H_NATURESTAFF_HELL,Adept's Symbol of Blight,1,,,,,,
446,T4_2H_NATURESTAFF_HELL@1,https://render.albiononline.com/v1/item/T4_2H_NATURESTAFF_HELL@1,Adept's Blight Staff ,,3001,https://render.albiononline.com/v1/item/T4_PLANKS_LEVEL1,Uncommon Pine Planks,20,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL1,Uncommon Fine Cloth,12,https://render.albiononline.com/v1/item/T4_ARTEFACT_2H_NATURESTAFF_HELL,Adept's Symbol of Blight,1,,,,,,
447,T4_2H_NATURESTAFF_HELL@2,https://render.albiononline.com/v1/item/T4_2H_NATURESTAFF_HELL@2,Adept's Blight Staff ,,5252,https://render.albiononline.com/v1/item/T4_PLANKS_LEVEL2,Rare Pine Planks,20,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL2,Rare Fine Cloth,12,https://render.albiononline.com/v1/item/T4_ARTEFACT_2H_NATURESTAFF_HELL,Adept's Symbol of Blight,1,,,,,,
448,T4_2H_NATURESTAFF_HELL@3,https://render.albiononline.com/v1/item/T4_2H_NATURESTAFF_HELL@3,Adept's Blight Staff ,,9191,https://render.albiononline.com/v1/item/T4_PLANKS_LEVEL3,Exceptional Pine Planks,20,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL3,Exceptional Fine Cloth,12,https://render.albiononline.com/v1/item/T4_ARTEFACT_2H_NATURESTAFF_HELL,Adept's Symbol of Blight,1,,,,,,
449,T4_2H_NATURESTAFF_HELL@4,https://render.albiononline.com/v1/item/T4_2H_NATURESTAFF_HELL@4,Adept's Blight Staff ,,16085,https://render.albiononline.com/v1/item/T4_PLANKS_LEVEL4,Pristine Pine Planks,20,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL4,Pristine Fine Cloth,12,https://render.albiononline.com/v1/item/T4_ARTEFACT_2H_NATURESTAFF_HELL,Adept's Symbol of Blight,1,,,,,,
450,T4_2H_POLEHAMMER,https://render.albiononline.com/v1/item/T4_2H_POLEHAMMER,Elder's Hammer ,,1715,https://render.albiononline.com/v1/item/T8_METALBAR_LEVEL4,Rare Meteorite Steel Bar,24,,,,,,,,,,,,
451,T4_2H_POLEHAMMER,https://render.albiononline.com/v1/item/T4_2H_POLEHAMMER,Adept's Polehammer ,,1715,https://render.albiononline.com/v1/item/T4_METALBAR,Steel Bar,20,https://render.albiononline.com/v1/item/T4_CLOTH,Fine Cloth,12,,,,,,,,,
452,T4_2H_POLEHAMMER@1,https://render.albiononline.com/v1/item/T4_2H_POLEHAMMER@1,Adept's Polehammer ,,3001,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL1,Uncommon Steel Bar,20,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL1,Uncommon Fine Cloth,12,,,,,,,,,
453,T4_2H_POLEHAMMER@1,https://render.albiononline.com/v1/item/T4_2H_POLEHAMMER@1,Adept's Polehammer ,,3001,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL1,Uncommon Steel Bar,20,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL1,Uncommon Fine Cloth,12,,,,,,,,,
454,T4_2H_POLEHAMMER@2,https://render.albiononline.com/v1/item/T4_2H_POLEHAMMER@2,Adept's Polehammer ,,5252,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL2,Rare Steel Bar,20,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL2,Rare Fine Cloth,12,,,,,,,,,
455,T4_2H_POLEHAMMER@3,https://render.albiononline.com/v1/item/T4_2H_POLEHAMMER@3,Adept's Polehammer ,,9191,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL3,Exceptional Steel Bar,20,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL3,Exceptional Fine Cloth,12,,,,,,,,,
456,T4_2H_POLEHAMMER@3,https://render.albiononline.com/v1/item/T4_2H_POLEHAMMER@3,Adept's Polehammer ,,9191,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL3,Exceptional Steel Bar,20,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL3,Exceptional Fine Cloth,12,,,,,,,,,
457,T4_2H_POLEHAMMER@4,https://render.albiononline.com/v1/item/T4_2H_POLEHAMMER@4,Adept's Polehammer ,,16085,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL4,Pristine Steel Bar,20,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL4,Pristine Fine Cloth,12,,,,,,,,,
458,T4_2H_POLEHAMMER@4,https://render.albiononline.com/v1/item/T4_2H_POLEHAMMER@4,Adept's Polehammer ,,16085,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL4,Pristine Steel Bar,20,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL4,Pristine Fine Cloth,12,,,,,,,,,
459,T4_2H_QUARTERSTAFF,https://render.albiononline.com/v1/item/T4_2H_QUARTERSTAFF,Adept's Quarterstaff ,,1715,https://render.albiononline.com/v1/item/T4_METALBAR,Steel Bar,12,https://render.albiononline.com/v1/item/T4_LEATHER,Worked Leather,20,,,,,,,,,
460,T4_2H_QUARTERSTAFF@1,https://render.albiononline.com/v1/item/T4_2H_QUARTERSTAFF@1,Adept's Quarterstaff ,,3001,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL1,Uncommon Steel Bar,12,https://render.albiononline.com/v1/item/T4_LEATHER_LEVEL1,Uncommon Worked Leather,20,,,,,,,,,
461,T4_2H_QUARTERSTAFF@2,https://render.albiononline.com/v1/item/T4_2H_QUARTERSTAFF@2,Adept's Quarterstaff ,,5252,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL2,Rare Steel Bar,12,https://render.albiononline.com/v1/item/T4_LEATHER_LEVEL2,Rare Worked Leather,20,,,,,,,,,
462,T4_2H_QUARTERSTAFF@3,https://render.albiononline.com/v1/item/T4_2H_QUARTERSTAFF@3,Adept's Quarterstaff ,,9191,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL2,Rare Steel Bar,12,https://render.albiononline.com/v1/item/T4_LEATHER_LEVEL2,Rare Worked Leather,20,,,,,,,,,
463,T4_2H_QUARTERSTAFF@4,https://render.albiononline.com/v1/item/T4_2H_QUARTERSTAFF@4,Adept's Quarterstaff ,,16085,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL4,Pristine Steel Bar,12,https://render.albiononline.com/v1/item/T4_LEATHER_LEVEL4,Pristine Worked Leather,20,,,,,,,,,
464,T4_2H_REPEATINGCROSSBOW_UNDEAD,https://render.albiononline.com/v1/item/T4_2H_REPEATINGCROSSBOW_UNDEAD,Adept's Weeping Repeater ,,1715,https://render.albiononline.com/v1/item/T4_PLANKS,Pine Planks,20,https://render.albiononline.com/v1/item/T4_METALBAR,Steel Bar,12,https://render.albiononline.com/v1/item/T4_ARTEFACT_2H_REPEATINGCROSSBOW_UNDEAD,Adept's Lost Crossbow Mechanism,1,,,,,,
465,T4_2H_REPEATINGCROSSBOW_UNDEAD@1,https://render.albiononline.com/v1/item/T4_2H_REPEATINGCROSSBOW_UNDEAD@1,Adept's Weeping Repeater ,,3001,https://render.albiononline.com/v1/item/T4_PLANKS_LEVEL1,Uncommon Pine Planks,20,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL1,Uncommon Steel Bar,12,https://render.albiononline.com/v1/item/T4_ARTEFACT_2H_REPEATINGCROSSBOW_UNDEAD,Adept's Lost Crossbow Mechanism,1,,,,,,
466,T4_2H_REPEATINGCROSSBOW_UNDEAD@2,https://render.albiononline.com/v1/item/T4_2H_REPEATINGCROSSBOW_UNDEAD@2,Adept's Weeping Repeater ,,5252,https://render.albiononline.com/v1/item/T4_PLANKS_LEVEL2,Rare Pine Planks,20,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL2,Rare Steel Bar,12,https://render.albiononline.com/v1/item/T4_ARTEFACT_2H_REPEATINGCROSSBOW_UNDEAD,Adept's Lost Crossbow Mechanism,1,,,,,,
